,Year,Quarter,Current assets,Total assets,Current liabilities,Shareholders' equity,Revenue,Cost of revenue,Operating expenses,Net income,Earnings per share,Depreciation & Amortization,Cash generated by operating activities,Cash at beginning of period,Cash at end of period
Google Inc 2008-2,2008,2,15465.0,27605.0,2460.0,24338.0,5186.0,2111.0,3640.0,1307.0,4.12,281.0,1779.0,6082.0,6520.0
Google Inc 2008-3,2008,3,16317.0,29180.0,2346.0,25913.0,5367.0,2148.0,3789.0,1247.0,3.92,589.0,3546.0,6082.0,7364.0
Google Inc 2008-4,2008,4,17963.0,30807.0,2224.0,27475.0,5541.0,2173.0,3894.0,1290.0,4.06,899.0,5731.0,6082.0,8370.0
Google Inc 2009-2,2009,2,22081.0,33513.0,2184.0,29848.0,5509.0,2102.0,3625.0,1423.0,4.49,321.0,2250.0,8657.0,10426.0
Google Inc 2009-3,2009,3,23835.0,35159.0,2001.0,31595.0,5523.0,2108.0,3649.0,1485.0,4.66,632.0,3859.0,8657.0,11911.0
Google Inc 2009-4,2009,4,26354.0,37703.0,2322.0,33722.0,5945.0,2226.0,3871.0,1639.0,5.13,943.0,6585.0,8657.0,12087.0
Google Inc 2010-2,2010,2,31132.0,42871.0,2922.0,38283.0,6775.0,2452.0,4287.0,1955.0,6.06,264.0,2584.0,10198.0,9192.0
Google Inc 2010-3,2010,3,35161.0,48045.0,5747.0,40613.0,6820.0,2467.0,4455.0,1840.0,5.71,530.0,4669.0,10198.0,10713.0
Google Inc 2010-4,2010,4,39447.0,53342.0,8530.0,43290.0,7286.0,2552.0,4739.0,2167.0,6.72,787.0,7555.0,10198.0,11257.0
Google Inc 2011-2,2011,2,43310.0,59960.0,9332.0,48851.0,8575.0,2936.0,6279.0,1798.0,5.51,301.0,3172.0,13630.0,12415.0
Google Inc 2011-3,2011,3,46442.0,64861.0,7798.0,51991.0,9026.0,3172.0,6145.0,2505.0,7.68,648.0,6691.0,13630.0,10320.0
Google Inc 2011-4,2011,4,50042.0,69088.0,8888.0,54830.0,9720.0,3378.0,6662.0,2729.0,8.33,1011.0,10641.0,13630.0,10630.0
Google Inc 2012-2,2012,2,56859.0,77144.0,9742.0,61712.0,10645.0,3789.0,7256.0,2890.0,8.75,378.0,3694.0,9983.0,23108.0
Google Inc 2012-3,2012,3,53857.0,86051.0,14028.0,64721.0,10964.0,1029.0,9011.0,2785.0,8.42,851.0,7946.0,9983.0,15437.0
Google Inc 2012-4,2012,4,56821.0,89730.0,14434.0,68028.0,11526.0,2114.0,11365.0,2176.0,6.53,1358.0,11950.0,9983.0,16260.0
Google Inc 2013-2,2013,2,62808.0,96692.0,13252.0,75473.0,12951.0,808.0,10492.0,3324.0,9.94,584.0,3633.0,14778.0,15375.0
Google Inc 2013-3,2013,3,66861.0,101182.0,15329.0,78852.0,13107.0,868.0,10982.0,2554.0,9.54,1331.0,8338.0,14778.0,16164.0
Google Inc 2013-4,2013,4,68858.0,105068.0,14475.0,82989.0,13754.0,1004.0,11449.0,2955.0,8.75,2024.0,13421.0,14778.0,15242.0
Google Inc 2014-2,2014,2,75314.0,116526.0,16270.0,91711.0,15420.0,5961.0,11305.0,3650.0,5.04,816.0,4391.0,18898.0,16639.0
Google Inc 2014-3,2014,3,77905.0,121608.0,17097.0,95749.0,15955.0,6114.0,11697.0,3490.0,4.99,1629.0,10018.0,18898.0,19620.0
Google Inc 2014-4,2014,4,80115.0,125781.0,17920.0,98815.0,16523.0,6695.0,12799.0,2998.0,4.09,2513.0,16012.0,18898.0,15605.0
Google Inc 2015-2,2015,2,80313.0,133400.0,14336.0,108448.0,17258.0,6356.0,12811.0,3586.0,5.2,938.0,6617.0,18347.0,16976.0
Google Inc 2015-3,2015,3,84164.0,138807.0,17362.0,111783.0,17727.0,6583.0,12902.0,3931.0,4.93,1949.0,13602.0,18347.0,18453.0
Google Inc 2015-4,2015,4,88103.0,144281.0,18457.0,116241.0,18675.0,7037.0,13967.0,3979.0,5.73,2979.0,19609.0,18347.0,18068.0
Alphabet Inc 2016-2,2016,2,90955.0,149747.0,17684.0,123569.0,20257.0,7648.0,14915.0,4207.0,6.02,1155.0,7658.0,16549.0,15111.0
Alphabet Inc 2016-3,2016,3,94238.0,154292.0,17341.0,127879.0,21500.0,8130.0,15532.0,4877.0,7.0,2426.0,16778.0,16549.0,13627.0
Alphabet Inc 2016-4,2016,4,98546.0,159948.0,14323.0,134103.0,22451.0,8699.0,16684.0,5061.0,7.25,3803.0,26623.0,16549.0,9406.0
Alphabet Inc 2017-2,2017,2,108794.0,172756.0,15256.0,144949.0,24750.0,9795.0,18182.0,5426.0,7.73,1287.0,9548.0,12918.0,18132.0
Alphabet Inc 2017-3,2017,3,112386.0,178621.0,18685.0,148286.0,26010.0,10373.0,21878.0,3524.0,5.01,2711.0,16951.0,12918.0,15711.0
Alphabet Inc 2017-4,2017,4,119345.0,189536.0,20693.0,157100.0,27772.0,11148.0,19990.0,6732.0,9.57,4272.0,26823.0,12918.0,10581.0
Alphabet Inc 2018-2,2018,2,123761.0,206935.0,25394.0,160825.0,31146.0,13467.0,24145.0,9401.0,13.33,1791.0,11642.0,10715.0,12658.0
Alphabet Inc 2018-3,2018,3,124157.0,211610.0,29903.0,162000.0,32657.0,13883.0,29850.0,3195.0,4.54,3653.0,21774.0,10715.0,14148.0
Alphabet Inc 2018-4,2018,4,129702.0,221538.0,31301.0,169840.0,33740.0,14281.0,25430.0,9192.0,13.06,5791.0,34984.0,10715.0,13443.0
